replicate,taxa,weight_g,treatment,tot.biomass,prop.biomass
61,Turbinaria ornata,9.4,caged,255,0.036862745
61,Dictyota bartayresiana,0,caged,255,0
61,Amansia rhodantha,124,caged,255,0.48627451
61,Sargassum pacificum,121.6,caged,255,0.476862745
61,NO ALGAE,0,caged,255,0
61,Halimeda spp,0,caged,255,0
61,Caulerpa peltata,0,caged,255,0
61,Boodlea kaeneana,0,caged,255,0
61,Lobophora variegata,0,caged,255,0
61,Padina boryana,0,caged,255,0
61,Spyridia filamentosa,0,caged,255,0
62,Turbinaria ornata,2.4,caged,141.8,0.016925247
62,Dictyota bartayresiana,0,caged,141.8,0
62,Amansia rhodantha,139.1,caged,141.8,0.980959097
62,Sargassum pacificum,0.3,caged,141.8,0.002115656
62,NO ALGAE,0,caged,141.8,0
62,Halimeda spp,0,caged,141.8,0
62,Caulerpa peltata,0,caged,141.8,0
62,Boodlea kaeneana,0,caged,141.8,0
62,Lobophora variegata,0,caged,141.8,0
62,Padina boryana,0,caged,141.8,0
62,Spyridia filamentosa,0,caged,141.8,0
63,Turbinaria ornata,0,caged,260,0
63,Dictyota bartayresiana,0,caged,260,0
63,Amansia rhodantha,258.3,caged,260,0.993461538
63,Sargassum pacificum,1.7,caged,260,0.006538462
63,NO ALGAE,0,caged,260,0
63,Halimeda spp,0,caged,260,0
63,Caulerpa peltata,0,caged,260,0
63,Boodlea kaeneana,0,caged,260,0
63,Lobophora variegata,0,caged,260,0
63,Padina boryana,0,caged,260,0
63,Spyridia filamentosa,0,caged,260,0
64,Turbinaria ornata,6.9,caged,260.9,0.026446915
64,Dictyota bartayresiana,0,caged,260.9,0
64,Amansia rhodantha,139.7,caged,260.9,0.535454197
64,Sargassum pacificum,114.3,caged,260.9,0.438098888
64,NO ALGAE,0,caged,260.9,0
64,Halimeda spp,0,caged,260.9,0
64,Caulerpa peltata,0,caged,260.9,0
64,Boodlea kaeneana,0,caged,260.9,0
64,Lobophora variegata,0,caged,260.9,0
64,Padina boryana,0,caged,260.9,0
64,Spyridia filamentosa,0,caged,260.9,0
65,Turbinaria ornata,2.3,caged,204.7,0.011235955
65,Dictyota bartayresiana,0,caged,204.7,0
65,Amansia rhodantha,106.3,caged,204.7,0.519296532
65,Sargassum pacificum,81.7,caged,204.7,0.399120664
65,NO ALGAE,0,caged,204.7,0
65,Halimeda spp,13,caged,204.7,0.063507572
65,Caulerpa peltata,1.4,caged,204.7,0.006839277
65,Boodlea kaeneana,0,caged,204.7,0
65,Lobophora variegata,0,caged,204.7,0
65,Padina boryana,0,caged,204.7,0
65,Spyridia filamentosa,0,caged,204.7,0
66,Turbinaria ornata,0,caged,233.2,0
66,Dictyota bartayresiana,0,caged,233.2,0
66,Amansia rhodantha,207.7,caged,233.2,0.890651801
66,Sargassum pacificum,25.5,caged,233.2,0.109348199
66,NO ALGAE,0,caged,233.2,0
66,Halimeda spp,0,caged,233.2,0
66,Caulerpa peltata,0,caged,233.2,0
66,Boodlea kaeneana,0,caged,233.2,0
66,Lobophora variegata,0,caged,233.2,0
66,Padina boryana,0,caged,233.2,0
66,Spyridia filamentosa,0,caged,233.2,0
67,Turbinaria ornata,0,caged,193.1,0
67,Dictyota bartayresiana,0,caged,193.1,0
67,Amansia rhodantha,170,caged,193.1,0.880372864
67,Sargassum pacificum,0,caged,193.1,0
67,NO ALGAE,0,caged,193.1,0
67,Halimeda spp,0,caged,193.1,0
67,Caulerpa peltata,0,caged,193.1,0
67,Boodlea kaeneana,22.4,caged,193.1,0.116002071
67,Lobophora variegata,0.7,caged,193.1,0.003625065
67,Padina boryana,0,caged,193.1,0
67,Spyridia filamentosa,0,caged,193.1,0
68,Turbinaria ornata,0,exposed,0,NA
68,Dictyota bartayresiana,0,exposed,0,NA
68,Amansia rhodantha,0,exposed,0,NA
68,Sargassum pacificum,0,exposed,0,NA
68,NO ALGAE,0,exposed,0,NA
68,Halimeda spp,0,exposed,0,NA
68,Caulerpa peltata,0,exposed,0,NA
68,Boodlea kaeneana,0,exposed,0,NA
68,Lobophora variegata,0,exposed,0,NA
68,Padina boryana,0,exposed,0,NA
68,Spyridia filamentosa,0,exposed,0,NA
69,Turbinaria ornata,0,exposed,0,NA
69,Dictyota bartayresiana,0,exposed,0,NA
69,Amansia rhodantha,0,exposed,0,NA
69,Sargassum pacificum,0,exposed,0,NA
69,NO ALGAE,0,exposed,0,NA
69,Halimeda spp,0,exposed,0,NA
69,Caulerpa peltata,0,exposed,0,NA
69,Boodlea kaeneana,0,exposed,0,NA
69,Lobophora variegata,0,exposed,0,NA
69,Padina boryana,0,exposed,0,NA
69,Spyridia filamentosa,0,exposed,0,NA
70,Turbinaria ornata,0.2,exposed,0.2,1
70,Dictyota bartayresiana,0,exposed,0.2,0
70,Amansia rhodantha,0,exposed,0.2,0
70,Sargassum pacificum,0,exposed,0.2,0
70,NO ALGAE,0,exposed,0.2,0
70,Halimeda spp,0,exposed,0.2,0
70,Caulerpa peltata,0,exposed,0.2,0
70,Boodlea kaeneana,0,exposed,0.2,0
70,Lobophora variegata,0,exposed,0.2,0
70,Padina boryana,0,exposed,0.2,0
70,Spyridia filamentosa,0,exposed,0.2,0
71,Turbinaria ornata,1,exposed,1,1
71,Dictyota bartayresiana,0,exposed,1,0
71,Amansia rhodantha,0,exposed,1,0
71,Sargassum pacificum,0,exposed,1,0
71,NO ALGAE,0,exposed,1,0
71,Halimeda spp,0,exposed,1,0
71,Caulerpa peltata,0,exposed,1,0
71,Boodlea kaeneana,0,exposed,1,0
71,Lobophora variegata,0,exposed,1,0
71,Padina boryana,0,exposed,1,0
71,Spyridia filamentosa,0,exposed,1,0
72,Turbinaria ornata,0,exposed,0,NA
72,Dictyota bartayresiana,0,exposed,0,NA
72,Amansia rhodantha,0,exposed,0,NA
72,Sargassum pacificum,0,exposed,0,NA
72,NO ALGAE,0,exposed,0,NA
72,Halimeda spp,0,exposed,0,NA
72,Caulerpa peltata,0,exposed,0,NA
72,Boodlea kaeneana,0,exposed,0,NA
72,Lobophora variegata,0,exposed,0,NA
72,Padina boryana,0,exposed,0,NA
72,Spyridia filamentosa,0,exposed,0,NA
73,Turbinaria ornata,74,exposed,78.7,0.940279543
73,Dictyota bartayresiana,3.3,exposed,78.7,0.041931385
73,Amansia rhodantha,1.4,exposed,78.7,0.017789072
73,Sargassum pacificum,0,exposed,78.7,0
73,NO ALGAE,0,exposed,78.7,0
73,Halimeda spp,0,exposed,78.7,0
73,Caulerpa peltata,0,exposed,78.7,0
73,Boodlea kaeneana,0,exposed,78.7,0
73,Lobophora variegata,0,exposed,78.7,0
73,Padina boryana,0,exposed,78.7,0
73,Spyridia filamentosa,0,exposed,78.7,0
74,Turbinaria ornata,0,exposed,0.3,0
74,Dictyota bartayresiana,0,exposed,0.3,0
74,Amansia rhodantha,0,exposed,0.3,0
74,Sargassum pacificum,0.3,exposed,0.3,1
74,NO ALGAE,0,exposed,0.3,0
74,Halimeda spp,0,exposed,0.3,0
74,Caulerpa peltata,0,exposed,0.3,0
74,Boodlea kaeneana,0,exposed,0.3,0
74,Lobophora variegata,0,exposed,0.3,0
74,Padina boryana,0,exposed,0.3,0
74,Spyridia filamentosa,0,exposed,0.3,0
75,Turbinaria ornata,13.6,caged,250.8,0.054226475
75,Dictyota bartayresiana,0,caged,250.8,0
75,Amansia rhodantha,19.3,caged,250.8,0.076953748
75,Sargassum pacificum,216,caged,250.8,0.861244019
75,NO ALGAE,0,caged,250.8,0
75,Halimeda spp,1.9,caged,250.8,0.007575758
75,Caulerpa peltata,0,caged,250.8,0
75,Boodlea kaeneana,0,caged,250.8,0
75,Lobophora variegata,0,caged,250.8,0
75,Padina boryana,0,caged,250.8,0
75,Spyridia filamentosa,0,caged,250.8,0
76,Turbinaria ornata,0,caged,249,0
76,Dictyota bartayresiana,0,caged,249,0
76,Amansia rhodantha,249,caged,249,1
76,Sargassum pacificum,0,caged,249,0
76,NO ALGAE,0,caged,249,0
76,Halimeda spp,0,caged,249,0
76,Caulerpa peltata,0,caged,249,0
76,Boodlea kaeneana,0,caged,249,0
76,Lobophora variegata,0,caged,249,0
76,Padina boryana,0,caged,249,0
76,Spyridia filamentosa,0,caged,249,0
77,Turbinaria ornata,3.7,caged,232,0.015948276
77,Dictyota bartayresiana,0,caged,232,0
77,Amansia rhodantha,149.3,caged,232,0.643534483
77,Sargassum pacificum,79,caged,232,0.340517241
77,NO ALGAE,0,caged,232,0
77,Halimeda spp,0,caged,232,0
77,Caulerpa peltata,0,caged,232,0
77,Boodlea kaeneana,0,caged,232,0
77,Lobophora variegata,0,caged,232,0
77,Padina boryana,0,caged,232,0
77,Spyridia filamentosa,0,caged,232,0
78,Turbinaria ornata,54,caged_open,54,1
78,Dictyota bartayresiana,0,caged_open,54,0
78,Amansia rhodantha,0,caged_open,54,0
78,Sargassum pacificum,0,caged_open,54,0
78,NO ALGAE,0,caged_open,54,0
78,Halimeda spp,0,caged_open,54,0
78,Caulerpa peltata,0,caged_open,54,0
78,Boodlea kaeneana,0,caged_open,54,0
78,Lobophora variegata,0,caged_open,54,0
78,Padina boryana,0,caged_open,54,0
78,Spyridia filamentosa,0,caged_open,54,0
79,Turbinaria ornata,0,caged,294.5,0
79,Dictyota bartayresiana,0,caged,294.5,0
79,Amansia rhodantha,79.3,caged,294.5,0.269269949
79,Sargassum pacificum,215.2,caged,294.5,0.730730051
79,NO ALGAE,0,caged,294.5,0
79,Halimeda spp,0,caged,294.5,0
79,Caulerpa peltata,0,caged,294.5,0
79,Boodlea kaeneana,0,caged,294.5,0
79,Lobophora variegata,0,caged,294.5,0
79,Padina boryana,0,caged,294.5,0
79,Spyridia filamentosa,0,caged,294.5,0
80,Turbinaria ornata,48.5,caged,313.7,0.154606312
80,Dictyota bartayresiana,0,caged,313.7,0
80,Amansia rhodantha,173,caged,313.7,0.551482308
80,Sargassum pacificum,79.3,caged,313.7,0.252789289
80,NO ALGAE,0,caged,313.7,0
80,Halimeda spp,12.9,caged,313.7,0.041122091
80,Caulerpa peltata,0,caged,313.7,0
80,Boodlea kaeneana,0,caged,313.7,0
80,Lobophora variegata,0,caged,313.7,0
80,Padina boryana,0,caged,313.7,0
80,Spyridia filamentosa,0,caged,313.7,0
81,Turbinaria ornata,18.4,caged_open,72.2,0.254847645
81,Dictyota bartayresiana,2.4,caged_open,72.2,0.033240997
81,Amansia rhodantha,20.3,caged_open,72.2,0.281163435
81,Sargassum pacificum,9.6,caged_open,72.2,0.132963989
81,NO ALGAE,0,caged_open,72.2,0
81,Halimeda spp,0,caged_open,72.2,0
81,Caulerpa peltata,2.3,caged_open,72.2,0.031855956
81,Boodlea kaeneana,0,caged_open,72.2,0
81,Lobophora variegata,16,caged_open,72.2,0.221606648
81,Padina boryana,3.2,caged_open,72.2,0.04432133
81,Spyridia filamentosa,0,caged_open,72.2,0
82,Turbinaria ornata,74.5,exposed,74.5,1
82,Dictyota bartayresiana,0,exposed,74.5,0
82,Amansia rhodantha,0,exposed,74.5,0
82,Sargassum pacificum,0,exposed,74.5,0
82,NO ALGAE,0,exposed,74.5,0
82,Halimeda spp,0,exposed,74.5,0
82,Caulerpa peltata,0,exposed,74.5,0
82,Boodlea kaeneana,0,exposed,74.5,0
82,Lobophora variegata,0,exposed,74.5,0
82,Padina boryana,0,exposed,74.5,0
82,Spyridia filamentosa,0,exposed,74.5,0
83,Turbinaria ornata,35.3,exposed,35.3,1
83,Dictyota bartayresiana,0,exposed,35.3,0
83,Amansia rhodantha,0,exposed,35.3,0
83,Sargassum pacificum,0,exposed,35.3,0
83,NO ALGAE,0,exposed,35.3,0
83,Halimeda spp,0,exposed,35.3,0
83,Caulerpa peltata,0,exposed,35.3,0
83,Boodlea kaeneana,0,exposed,35.3,0
83,Lobophora variegata,0,exposed,35.3,0
83,Padina boryana,0,exposed,35.3,0
83,Spyridia filamentosa,0,exposed,35.3,0
84,Turbinaria ornata,0,exposed,0,NA
84,Dictyota bartayresiana,0,exposed,0,NA
84,Amansia rhodantha,0,exposed,0,NA
84,Sargassum pacificum,0,exposed,0,NA
84,NO ALGAE,0,exposed,0,NA
84,Halimeda spp,0,exposed,0,NA
84,Caulerpa peltata,0,exposed,0,NA
84,Boodlea kaeneana,0,exposed,0,NA
84,Lobophora variegata,0,exposed,0,NA
84,Padina boryana,0,exposed,0,NA
84,Spyridia filamentosa,0,exposed,0,NA
85,Turbinaria ornata,0,exposed,0,NA
85,Dictyota bartayresiana,0,exposed,0,NA
85,Amansia rhodantha,0,exposed,0,NA
85,Sargassum pacificum,0,exposed,0,NA
85,NO ALGAE,0,exposed,0,NA
85,Halimeda spp,0,exposed,0,NA
85,Caulerpa peltata,0,exposed,0,NA
85,Boodlea kaeneana,0,exposed,0,NA
85,Lobophora variegata,0,exposed,0,NA
85,Padina boryana,0,exposed,0,NA
85,Spyridia filamentosa,0,exposed,0,NA
86,Turbinaria ornata,31.3,exposed,31.3,1
86,Dictyota bartayresiana,0,exposed,31.3,0
86,Amansia rhodantha,0,exposed,31.3,0
86,Sargassum pacificum,0,exposed,31.3,0
86,NO ALGAE,0,exposed,31.3,0
86,Halimeda spp,0,exposed,31.3,0
86,Caulerpa peltata,0,exposed,31.3,0
86,Boodlea kaeneana,0,exposed,31.3,0
86,Lobophora variegata,0,exposed,31.3,0
86,Padina boryana,0,exposed,31.3,0
86,Spyridia filamentosa,0,exposed,31.3,0
87,Turbinaria ornata,0,exposed,0,NA
87,Dictyota bartayresiana,0,exposed,0,NA
87,Amansia rhodantha,0,exposed,0,NA
87,Sargassum pacificum,0,exposed,0,NA
87,NO ALGAE,0,exposed,0,NA
87,Halimeda spp,0,exposed,0,NA
87,Caulerpa peltata,0,exposed,0,NA
87,Boodlea kaeneana,0,exposed,0,NA
87,Lobophora variegata,0,exposed,0,NA
87,Padina boryana,0,exposed,0,NA
87,Spyridia filamentosa,0,exposed,0,NA
88,Turbinaria ornata,85.3,exposed,85.3,1
88,Dictyota bartayresiana,0,exposed,85.3,0
88,Amansia rhodantha,0,exposed,85.3,0
88,Sargassum pacificum,0,exposed,85.3,0
88,NO ALGAE,0,exposed,85.3,0
88,Halimeda spp,0,exposed,85.3,0
88,Caulerpa peltata,0,exposed,85.3,0
88,Boodlea kaeneana,0,exposed,85.3,0
88,Lobophora variegata,0,exposed,85.3,0
88,Padina boryana,0,exposed,85.3,0
88,Spyridia filamentosa,0,exposed,85.3,0
89,Turbinaria ornata,4.7,caged,322.8,0.014560099
89,Dictyota bartayresiana,0,caged,322.8,0
89,Amansia rhodantha,197.7,caged,322.8,0.612453532
89,Sargassum pacificum,120.4,caged,322.8,0.372986369
89,NO ALGAE,0,caged,322.8,0
89,Halimeda spp,0,caged,322.8,0
89,Caulerpa peltata,0,caged,322.8,0
89,Boodlea kaeneana,0,caged,322.8,0
89,Lobophora variegata,0,caged,322.8,0
89,Padina boryana,0,caged,322.8,0
89,Spyridia filamentosa,0,caged,322.8,0
90,Turbinaria ornata,10.2,caged,323.3,0.031549644
90,Dictyota bartayresiana,0,caged,323.3,0
90,Amansia rhodantha,299,caged,323.3,0.924837612
90,Sargassum pacificum,13.1,caged,323.3,0.040519641
90,NO ALGAE,0,caged,323.3,0
90,Halimeda spp,0,caged,323.3,0
90,Caulerpa peltata,0,caged,323.3,0
90,Boodlea kaeneana,0,caged,323.3,0
90,Lobophora variegata,1,caged,323.3,0.003093102
90,Padina boryana,0,caged,323.3,0
90,Spyridia filamentosa,0,caged,323.3,0
91,Turbinaria ornata,55.7,caged,341.2,0.163247362
91,Dictyota bartayresiana,0,caged,341.2,0
91,Amansia rhodantha,274.1,caged,341.2,0.803341149
91,Sargassum pacificum,0,caged,341.2,0
91,NO ALGAE,0,caged,341.2,0
91,Halimeda spp,11.4,caged,341.2,0.033411489
91,Caulerpa peltata,0,caged,341.2,0
91,Boodlea kaeneana,0,caged,341.2,0
91,Lobophora variegata,0,caged,341.2,0
91,Padina boryana,0,caged,341.2,0
91,Spyridia filamentosa,0,caged,341.2,0
92,Turbinaria ornata,0,caged,221,0
92,Dictyota bartayresiana,0,caged,221,0
92,Amansia rhodantha,168.3,caged,221,0.761538462
92,Sargassum pacificum,0,caged,221,0
92,NO ALGAE,0,caged,221,0
92,Halimeda spp,2.3,caged,221,0.01040724
92,Caulerpa peltata,0,caged,221,0
92,Boodlea kaeneana,0,caged,221,0
92,Lobophora variegata,0,caged,221,0
92,Padina boryana,0,caged,221,0
92,Spyridia filamentosa,50.4,caged,221,0.228054299
93,Turbinaria ornata,1,caged,213.2,0.004690432
93,Dictyota bartayresiana,0,caged,213.2,0
93,Amansia rhodantha,201.6,caged,213.2,0.945590994
93,Sargassum pacificum,10.6,caged,213.2,0.049718574
93,NO ALGAE,0,caged,213.2,0
93,Halimeda spp,0,caged,213.2,0
93,Caulerpa peltata,0,caged,213.2,0
93,Boodlea kaeneana,0,caged,213.2,0
93,Lobophora variegata,0,caged,213.2,0
93,Padina boryana,0,caged,213.2,0
93,Spyridia filamentosa,0,caged,213.2,0
94,Turbinaria ornata,8.9,caged,218.8,0.040676417
94,Dictyota bartayresiana,0,caged,218.8,0
94,Amansia rhodantha,195.7,caged,218.8,0.894424132
94,Sargassum pacificum,14.2,caged,218.8,0.064899452
94,NO ALGAE,0,caged,218.8,0
94,Halimeda spp,0,caged,218.8,0
94,Caulerpa peltata,0,caged,218.8,0
94,Boodlea kaeneana,0,caged,218.8,0
94,Lobophora variegata,0,caged,218.8,0
94,Padina boryana,0,caged,218.8,0
94,Spyridia filamentosa,0,caged,218.8,0
95,Turbinaria ornata,0,exposed,0,NA
95,Dictyota bartayresiana,0,exposed,0,NA
95,Amansia rhodantha,0,exposed,0,NA
95,Sargassum pacificum,0,exposed,0,NA
95,NO ALGAE,0,exposed,0,NA
95,Halimeda spp,0,exposed,0,NA
95,Caulerpa peltata,0,exposed,0,NA
95,Boodlea kaeneana,0,exposed,0,NA
95,Lobophora variegata,0,exposed,0,NA
95,Padina boryana,0,exposed,0,NA
95,Spyridia filamentosa,0,exposed,0,NA
96,Turbinaria ornata,89.9,exposed,89.9,1
96,Dictyota bartayresiana,0,exposed,89.9,0
96,Amansia rhodantha,0,exposed,89.9,0
96,Sargassum pacificum,0,exposed,89.9,0
96,NO ALGAE,0,exposed,89.9,0
96,Halimeda spp,0,exposed,89.9,0
96,Caulerpa peltata,0,exposed,89.9,0
96,Boodlea kaeneana,0,exposed,89.9,0
96,Lobophora variegata,0,exposed,89.9,0
96,Padina boryana,0,exposed,89.9,0
96,Spyridia filamentosa,0,exposed,89.9,0
97,Turbinaria ornata,0,exposed,0,NA
97,Dictyota bartayresiana,0,exposed,0,NA
97,Amansia rhodantha,0,exposed,0,NA
97,Sargassum pacificum,0,exposed,0,NA
97,NO ALGAE,0,exposed,0,NA
97,Halimeda spp,0,exposed,0,NA
97,Caulerpa peltata,0,exposed,0,NA
97,Boodlea kaeneana,0,exposed,0,NA
97,Lobophora variegata,0,exposed,0,NA
97,Padina boryana,0,exposed,0,NA
97,Spyridia filamentosa,0,exposed,0,NA
98,Turbinaria ornata,0,exposed,0,NA
98,Dictyota bartayresiana,0,exposed,0,NA
98,Amansia rhodantha,0,exposed,0,NA
98,Sargassum pacificum,0,exposed,0,NA
98,NO ALGAE,0,exposed,0,NA
98,Halimeda spp,0,exposed,0,NA
98,Caulerpa peltata,0,exposed,0,NA
98,Boodlea kaeneana,0,exposed,0,NA
98,Lobophora variegata,0,exposed,0,NA
98,Padina boryana,0,exposed,0,NA
98,Spyridia filamentosa,0,exposed,0,NA
99,Turbinaria ornata,2.1,exposed,2.1,1
99,Dictyota bartayresiana,0,exposed,2.1,0
99,Amansia rhodantha,0,exposed,2.1,0
99,Sargassum pacificum,0,exposed,2.1,0
99,NO ALGAE,0,exposed,2.1,0
99,Halimeda spp,0,exposed,2.1,0
99,Caulerpa peltata,0,exposed,2.1,0
99,Boodlea kaeneana,0,exposed,2.1,0
99,Lobophora variegata,0,exposed,2.1,0
99,Padina boryana,0,exposed,2.1,0
99,Spyridia filamentosa,0,exposed,2.1,0
100,Turbinaria ornata,98.9,exposed,102,0.969607843
100,Dictyota bartayresiana,0,exposed,102,0
100,Amansia rhodantha,3.1,exposed,102,0.030392157
100,Sargassum pacificum,0,exposed,102,0
100,NO ALGAE,0,exposed,102,0
100,Halimeda spp,0,exposed,102,0
100,Caulerpa peltata,0,exposed,102,0
100,Boodlea kaeneana,0,exposed,102,0
100,Lobophora variegata,0,exposed,102,0
100,Padina boryana,0,exposed,102,0
100,Spyridia filamentosa,0,exposed,102,0
101,Turbinaria ornata,52.1,partial cage,52.1,1
101,Dictyota bartayresiana,0,partial cage,52.1,0
101,Amansia rhodantha,0,partial cage,52.1,0
101,Sargassum pacificum,0,partial cage,52.1,0
101,NO ALGAE,0,partial cage,52.1,0
101,Halimeda spp,0,partial cage,52.1,0
101,Caulerpa peltata,0,partial cage,52.1,0
101,Boodlea kaeneana,0,partial cage,52.1,0
101,Lobophora variegata,0,partial cage,52.1,0
101,Padina boryana,0,partial cage,52.1,0
101,Spyridia filamentosa,0,partial cage,52.1,0
102,Turbinaria ornata,0,partial cage,0,NA
102,Dictyota bartayresiana,0,partial cage,0,NA
102,Amansia rhodantha,0,partial cage,0,NA
102,Sargassum pacificum,0,partial cage,0,NA
102,NO ALGAE,0,partial cage,0,NA
102,Halimeda spp,0,partial cage,0,NA
102,Caulerpa peltata,0,partial cage,0,NA
102,Boodlea kaeneana,0,partial cage,0,NA
102,Lobophora variegata,0,partial cage,0,NA
102,Padina boryana,0,partial cage,0,NA
102,Spyridia filamentosa,0,partial cage,0,NA
1,Turbinaria ornata,86.3,natural,86.3,1
2,Turbinaria ornata,104,natural,104,1
3,Turbinaria ornata,243.8,natural,243.8,1
4,Turbinaria ornata,173.9,natural,173.9,1
5,Turbinaria ornata,189.7,natural,189.7,1
6,Turbinaria ornata,206.8,natural,206.8,1
7,Turbinaria ornata,97.7,natural,97.7,1
8,Turbinaria ornata,131.5,natural,131.5,1
9,Turbinaria ornata,221.4,natural,221.4,1
10,Turbinaria ornata,132.2,natural,132.2,1
11,Turbinaria ornata,322.1,natural,322.1,1
12,Turbinaria ornata,75.3,natural,75.3,1
13,Turbinaria ornata,156.8,natural,156.8,1
14,Turbinaria ornata,140,natural,140,1
15,Turbinaria ornata,182,natural,182,1
16,Turbinaria ornata,192.1,natural,192.1,1
17,Turbinaria ornata,160.2,natural,160.2,1
18,Turbinaria ornata,72.9,natural,72.9,1
19,Turbinaria ornata,265,natural,265,1
20,Turbinaria ornata,174.7,natural,174.7,1
